date,subject_area,count
2022,Oncology,60
2023,Oncology,27
2021,Oncology,62
2020,Periodontics,6
2019,Periodontics,7
2018,Periodontics,5
2022,Periodontics,8
2023,Periodontics,2
2021,Periodontics,5
2020,"Economics, Econometrics and Finance (miscellaneous)",10
2019,"Economics, Econometrics and Finance (miscellaneous)",4
2018,"Economics, Econometrics and Finance (miscellaneous)",2
2022,"Economics, Econometrics and Finance (miscellaneous)",9
2023,"Economics, Econometrics and Finance (miscellaneous)",8
2021,"Economics, Econometrics and Finance (miscellaneous)",7
2020,Leadership and Management,2
2019,Leadership and Management,1
2018,Leadership and Management,1
2022,Leadership and Management,4
2023,Leadership and Management,5
2021,Leadership and Management,3
2020,Psychology (all),11
2019,Psychology (all),7
2018,Psychology (all),7
2022,Psychology (all),21
2023,Psychology (all),11
2021,Psychology (all),9
2020,Acoustics and Ultrasonics,2
2019,Acoustics and Ultrasonics,1
2018,Acoustics and Ultrasonics,0
2022,Acoustics and Ultrasonics,6
2023,Acoustics and Ultrasonics,1
2021,Acoustics and Ultrasonics,2
2020,Organizational Behavior and Human Resource Management,2
2019,Organizational Behavior and Human Resource Management,12
2018,Organizational Behavior and Human Resource Management,11
2022,Organizational Behavior and Human Resource Management,11
2023,Organizational Behavior and Human Resource Management,4
2021,Organizational Behavior and Human Resource Management,5
2020,Environmental Engineering,68
2019,Environmental Engineering,50
2018,Environmental Engineering,47
2022,Environmental Engineering,80
2023,Environmental Engineering,56
2021,Environmental Engineering,68
2020,Forestry,9
2019,Forestry,4
2018,Forestry,4
2022,Forestry,5
2023,Forestry,6
2021,Forestry,7
2020,Education,59
2019,Education,62
2018,Education,28
2022,Education,81
2023,Education,60
2021,Education,71
2020,Biophysics,13
2019,Biophysics,18
2018,Biophysics,25
2022,Biophysics,19
2023,Biophysics,15
2021,Biophysics,20
2020,Dentistry (all),33
2019,Dentistry (all),32
2018,Dentistry (all),39
2022,Dentistry (all),68
2023,Dentistry (all),68
2021,Dentistry (all),56
2020,Economic Geology,1
2019,Economic Geology,1
2018,Economic Geology,0
2022,Economic Geology,0
2023,Economic Geology,0
2021,Economic Geology,1
2020,Research and Theory,1
2019,Research and Theory,0
2018,Research and Theory,0
2022,Research and Theory,0
2023,Research and Theory,1
2021,Research and Theory,1
2020,Museology,1
2019,Museology,0
2018,Museology,0
2022,Museology,0
2023,Museology,0
2021,Museology,0
2020,Artificial Intelligence,60
2019,Artificial Intelligence,78
2018,Artificial Intelligence,72
2022,Artificial Intelligence,102
2023,Artificial Intelligence,86
2021,Artificial Intelligence,77
2020,Gender Studies,0
2019,Gender Studies,0
2018,Gender Studies,0
2022,Gender Studies,2
2023,Gender Studies,2
2021,Gender Studies,0
2020,Care Planning,1
2019,Care Planning,0
2018,Care Planning,0
2022,Care Planning,0
2023,Care Planning,0
2021,Care Planning,1
